username,name,email,state,city,dob,aadhar_no
anadijosh,"Anandhi Bai Joshi",anandjoshi@gmail.com,Maharashtra,Pune,1989-03-29,2147483647
ananthu,"Anant Kaushik",ananth@gmail.com,"Uttar Pradesh",Bareilly,1992-06-10,2147483647
devikav,"Devika Vatsa",devikavatsa389@gmail.com,Maharashtra,Mumbai,1987-10-20,2147483647
jayepay2,"Jayant Parekh",jayapaye890@gmail.com,"Andhra Pradesh",Hyderabad,1998-04-23,2147483647
junaifez,"Junaid Feroz",junaidkhan@gmail.com,"Tamil Nadu",Chennai,1985-10-02,2147483647
muditmuk09,"Mudit Anand",muditmukanand@gmail.com,"Himachal Pradesh",Manali,1993-02-10,2147483647
murugeshmani,"Murugesh Manikandan",murmani98@gmail.com,"Tamil Nadu",Neyvei,1991-10-10,2147483647
navyanavy,"Navya Naveli",navyarajdeep@gmail.com,"Andhra Pradesh",Guntur,1986-04-08,2147483647
rachitjk,"Rachit Jain",rachitj@gmail.com,Punjab,Amritsar,1991-02-08,2147483647
radhikash,"Radhika Verma",radhikash89@gmail.com,"Madhya Pradesh",Bhopal,1998-06-05,2147483647
raunak_77,"Raunak Ram",raunaktep@gmail.com,Karnataka,Bangalore,1989-01-21,2147483647
sakshipalak,"Sakshi Palak",sakship9021@gmail.com,Punjab,Amritsar,1989-08-17,2147483647
sashatri,"Sasha Tripathi",sashatripathi@gmail.com,Rajasthan,Jaipur,1978-01-20,2147483647
shreya_p,"Shreya Padman",shreyasashi@gmail.com,Kerala,Kochi,1992-03-20,2147483647
somesh_puri,"Somesh Puri",smeshwar23@gmail.com,Karnataka,Mangalore,1988-01-27,2147483647
tanmayk,"Tanmay Kankaria",tanmayk@gmail.com,Maharashtra,Mumbai,1990-09-01,2147483647
tusharkr,"Tushar Krishnan",tskumar90@gmail.com,"Uttar Pradesh",Lucknow,2004-07-10,2147483647
vijayp_89,"Vijay Prasad",vijayprad21@gmail.com,Keral,Kannur,1998-11-20,2147483647
virajram,"Viraj Ghelani",virajghe@gmail.com,Gujarat,Vadodara,1990-02-05,2147483647
vishmeh,"Vishal Mehra",vishalm789@gmail.com,Maharashtra,Pune,1989-03-10,2147483647
